batter,runs_bat,ball,outs,batting_avg,strike_rate,batting_impact
A Gardner,244,172,9,27.11,141.9,38.47
A Reddy,38,50,3,12.67,76.0,9.63
A Soni,11,14,1,11.0,78.6,8.65
AB Kaur,139,104,6,23.17,133.7,30.98
AB Sharma,177,137,7,25.29,129.2,32.67
AC Kerr,74,61,3,24.67,121.3,29.92
AE Jones,1,2,1,1.0,50.0,0.5
BL Mooney,258,211,8,32.25,122.3,39.44
BS Fulmali,119,81,6,19.83,146.9,29.13
CA Henry,108,69,4,27.0,156.5,42.26
CL Tryon,85,56,3,28.33,151.8,43.0
CR Knott,12,12,1,12.0,100.0,12.0
D Hemalatha,11,20,2,5.5,55.0,3.02
DB Sharma,131,110,6,21.83,119.1,26.0
DJS Dottin,57,55,2,28.5,103.6,29.53
DN Wyatt,14,8,1,14.0,175.0,24.5
G Kamalini,75,77,4,18.75,97.4,18.26
G Voll,170,134,5,34.0,126.9,43.15
G Wareham,178,123,5,35.6,144.7,51.51
GJ Naik,86,70,4,21.5,122.9,26.42
GM Harris,237,133,9,26.33,178.2,46.92
H Deol,167,144,7,23.86,116.0,27.68
H Kaur,342,227,5,68.4,150.7,103.08
HK Matthews,109,87,5,21.8,125.3,27.32
JI Rodrigues,264,186,8,33.0,141.9,46.83
K Goud,1,2,1,1.0,50.0,0.5
KP Navgire,16,24,6,2.67,66.7,1.78
KS Ahuja,71,59,7,10.14,120.3,12.2
KS Gautam,67,51,6,11.17,131.4,14.68
L Lee,320,230,10,32.0,139.1,44.51
L Wolvaardt,317,234,7,45.29,135.5,61.37
LK Bell,1,1,0,1.0,100.0,1.0
LK Hamilton,36,19,1,36.0,189.5,68.22
M Kapp,49,45,4,12.25,108.9,13.34
M Mani,13,11,2,6.5,118.2,7.68
MM Lanning,248,198,8,31.0,125.3,38.84
N Shree Charani,21,17,0,21.0,123.5,25.94
N de Klerk,133,96,3,44.33,138.5,61.4
NJ Carey,149,105,4,37.25,141.9,52.86
NR Sciver-Brunt,321,212,5,64.2,151.4,97.2
NS Prasad,75,62,3,25.0,121.0,30.25
NSS Sharma,1,4,2,0.5,25.0,0.12
P Litchfield,243,157,6,40.5,154.8,62.69
P Rawat,8,4,0,8.0,200.0,16.0
PN Khemnar,2,4,1,2.0,50.0,1.0
RM Ghosh,189,125,6,31.5,151.2,47.63
RP Yadav,114,81,5,22.8,140.7,32.08
RS Gayakwad,0,3,1,0.0,0.0,0.0
Rahila Firdous,1,1,0,1.0,100.0,1.0
Renuka Singh,12,15,3,4.0,80.0,3.2
S Asha,49,37,2,24.5,132.4,32.44
S Ecclestone,26,42,5,5.2,61.9,3.22
S Gupta,10,6,1,10.0,166.7,16.67
S Mandhana,377,246,7,53.86,153.3,82.57
S Pandey,27,19,1,27.0,142.1,38.37
S Rana,62,49,3,20.67,126.5,26.15
S Sajana,103,76,6,17.17,135.5,23.27
S Sehrawat,46,47,6,7.67,97.9,7.51
SFM Devine,243,164,8,30.38,148.2,45.02
SG Satghare,3,6,2,1.5,50.0,0.75
SR Giri,9,8,1,9.0,112.5,10.12
SR Patil,28,17,2,14.0,164.7,23.06
Shafali Verma,259,207,10,25.9,125.1,32.4
Shivani Singh,0,2,1,0.0,0.0,0.0
Simran Shaikh,32,25,2,16.0,128.0,20.48
TP Kanwar,54,36,2,27.0,150.0,40.5
